iter	Precision	CrossEntropy
0	0.75	0.6158286473
1	1	0.556420133
2	1	0.5106373785
3	1	0.4742300729
4	1	0.4355586488
5	1	0.4080620254
6	1	0.3925003815
7	1	0.3767379825
8	1	0.3647165305
9	1	0.3564015526
10	1	0.3478660191
11	1	0.3409214692
12	1	0.3355506192
13	1	0.3320952453
14	1	0.3300537662
15	1	0.3284279622
16	1	0.3239371971
17	1	0.3193117451
18	1	0.3166848502
19	1	0.3148593917
20	1	0.3120775089
21	1	0.3109873832
22	1	0.3106417226
23	1	0.3102161773
24	1	0.3100574872
25	1	0.3081883872
26	1	0.3066709506
27	1	0.3052414637
28	1	0.3029233832
29	1	0.3024779315
30	1	0.3021292488
31	1	0.3021085669
32	1	0.3016128666
33	1	0.2988111744
34	1	0.2955006625
35	1	0.2937516373
36	1	0.2935460411
37	1	0.2917645576
38	1	0.2916634687
39	1	0.2900931377
40	1	0.2900921282
41	1	0.288873887
42	1	0.2882787507
43	1	0.2880502509
44	1	0.2868351464
45	1	0.2863784081
46	1	0.28621433
47	1	0.2843638656
48	1	0.2842758575
49	1	0.2842737009
50	1	0.2842719491
51	1	0.2841901312
52	1	0.2841889377
53	1	0.2828954217
54	1	0.2817935638
55	1	0.2815277404
56	1	0.2804821849
57	1	0.2804159464
58	1	0.2792336239
59	1	0.2784446976
60	1	0.2773919303
61	1	0.276308562
62	1	0.2754225246
63	1	0.2744479246
64	1	0.273768731
65	1	0.2736497432
66	1	0.2735828432
67	1	0.2734067041
68	1	0.273297479
69	1	0.2718735388
70	1	0.2716645565
71	1	0.271646167
72	1	0.2713671545
73	1	0.2695084419
74	1	0.2682901867
75	1	0.267705604
76	1	0.2675563764
77	1	0.267075393
78	1	0.2669491458
79	1	0.2660257231
80	1	0.2660225119
81	1	0.2645714169
82	1	0.2645682314
83	1	0.2634660556
84	1	0.2632505276
85	1	0.2615213629
86	1	0.2615175231
87	1	0.2599015304
88	1	0.2588278034
89	1	0.2572624463
90	1	0.2571147145
91	1	0.2571102454
92	1	0.2561881722
93	1	0.2556214939
94	1	0.2544661505
95	1	0.2540771708
96	1	0.2537643808
97	1	0.2536984355
98	1	0.2535859739
99	1	0.2524688704
100	1	0.2507226183
101	1	0.2493411571
102	1	0.2489056862
103	1	0.247695294
104	1	0.247647924
105	1	0.2464901374
106	1	0.2464067981
107	1	0.2453701083
108	1	0.2443021028
109	1	0.2442584222
110	1	0.2433254956
111	1	0.2422973872
112	1	0.2422947574
113	1	0.2422581384
114	1	0.2421262569
115	1	0.2417745636
116	1	0.2406441223
117	1	0.238969872
118	1	0.2389669723
119	1	0.2389246251
120	1	0.2381385373
121	1	0.2379988305
122	1	0.2375559086
123	1	0.2374007038
124	1	0.2367927195
125	1	0.2364787059
126	1	0.236477405
127	1	0.2364088633
128	1	0.235450277
129	1	0.235041287
130	1	0.2342940946
131	1	0.2342930381
132	1	0.2333575463
133	1	0.2327592243
134	1	0.2321578599
135	1	0.23120399
136	1	0.23028747
137	1	0.2292452537
138	1	0.2289963844
139	1	0.2280656611
140	1	0.2265854674
141	1	0.2265561053
142	1	0.2264833891
143	1	0.2255819669
144	1	0.2255551351
145	1	0.2242883638
146	1	0.2229559681
147	1	0.222786412
148	1	0.2227592369
149	1	0.2227019199
150	1	0.2219191774
151	1	0.2205506456
152	1	0.2194305626
153	1	0.2188650523
154	1	0.2188611181
155	1	0.2188339398
156	1	0.2175273263
157	1	0.2175236689
158	1	0.2168419687
159	1	0.2164161916
160	1	0.215704955
161	1	0.2145436545
162	1	0.2144992677
163	1	0.2140100285
164	1	0.2128591213
165	1	0.2123230661
166	1	0.2122157195
167	1	0.2122136907
168	1	0.2113307286
169	1	0.2109232644
170	1	0.209986921
171	1	0.209984768
172	1	0.2092373549
173	1	0.2092356186
174	1	0.2083776659
175	1	0.2082408071
176	1	0.2081641925
177	1	0.207305058
178	1	0.2063140203
179	1	0.2060614069
180	1	0.2049680418
181	1	0.2043360844
182	1	0.2035953867
183	1	0.2033348565
184	1	0.201440664
185	1	0.2006776998
186	1	0.20001169
187	1	0.1993816601
188	1	0.1993784077
189	1	0.1986321649
190	1	0.1979825951
191	1	0.1979800493
192	1	0.1972858766
193	1	0.1963131614
194	1	0.1958778882
195	1	0.1957586542
196	1	0.1946298232
197	1	0.1938471979
198	1	0.1935036288
199	1	0.1935015654
200	1	0.1934998896
201	1	0.1932621491
202	1	0.1922564459
203	1	0.1920919268
204	1	0.1919674711
205	1	0.1917999315
206	1	0.1917990255
207	1	0.1912300692
208	1	0.190192771
209	1	0.1900302093
210	1	0.1899452657
211	1	0.1890840018
212	1	0.1890634348
213	1	0.1882609898
214	1	0.1880472664
215	1	0.1877671529
216	1	0.1864013361
217	1	0.1863436459
218	1	0.1862727892
219	1	0.1862060343
220	1	0.185655786
221	1	0.1856551535
222	1	0.1855705567
223	1	0.1847822529
224	1	0.1846578585
225	1	0.1846572545
226	1	0.184640537
227	1	0.1839288599
228	1	0.1825427889
229	1	0.1817548558
230	1	0.1813195721
231	1	0.1813179164
232	1	0.1813165717
233	1	0.180323424
234	1	0.1802003977
235	1	0.1801991562
236	1	0.1801981479
237	1	0.1801973291
238	1	0.1798483807
239	1	0.1798477511
240	1	0.1791841317
241	1	0.1791715616
242	1	0.1791479509
243	1	0.1790799325
244	1	0.1790384237
245	1	0.1781766619
246	1	0.1775862369
247	1	0.1775529684
248	1	0.1767838079
249	1	0.1766190762
250	1	0.1766184197
251	1	0.1766178865
252	1	0.1762354531
253	1	0.1762203039
254	1	0.1758069079
255	1	0.1758064284
256	1	0.1749535457
257	1	0.174394027
258	1	0.1735143841
259	1	0.173513577
260	1	0.1730892845
261	1	0.1728052883
262	1	0.1718891024
263	1	0.1709286247
264	1	0.1703434439
265	1	0.1698218228
266	1	0.1690844709
267	1	0.1682896957
268	1	0.1671851604
269	1	0.1671831476
270	1	0.1668602926
271	1	0.1667211784
272	1	0.1666536839
273	1	0.1665967368
274	1	0.1661288715
275	1	0.1650325479
276	1	0.1650317849
277	1	0.1642818208
278	1	0.1641484023
279	1	0.163582602
280	1	0.1633186725
281	1	0.1630691764
282	1	0.1626550515
283	1	0.1626546455
284	1	0.162633709
285	1	0.1621614277
286	1	0.1617002442
287	1	0.1607364884
288	1	0.1607358968
289	1	0.1604118353
290	1	0.1598251607
291	1	0.1598245856
292	1	0.1588876661
293	1	0.1588440509
294	1	0.1588076022
295	1	0.1584493437
296	1	0.1580348541
297	1	0.1580199137
298	1	0.1580060406
299	1	0.157140666
300	1	0.1569306062
301	1	0.1567979372
302	1	0.1562997063
303	1	0.1556966898
304	1	0.1550962697
305	1	0.1550812276
306	1	0.1550184326
307	1	0.1542650817
308	1	0.1542524023
309	1	0.1537647873
310	1	0.152967877
311	1	0.1521724081
312	1	0.1520623322
313	1	0.1511926266
314	1	0.1505525196
315	1	0.1496805548
316	1	0.1495600411
317	1	0.1486598222
318	1	0.1486580353
319	1	0.1484203332
320	1	0.1477915327
321	1	0.1469270553
322	1	0.1469196588
323	1	0.146435924
324	1	0.146356422
325	1	0.1457907122
326	1	0.1454167243
327	1	0.1448275186
328	1	0.1447671393
329	1	0.1440246108
330	1	0.1435664718
331	1	0.1435563885
332	1	0.1431034529
333	1	0.1425675062
334	1	0.1425544074
335	1	0.1423787181
336	1	0.1417533216
337	1	0.1417407413
338	1	0.1417401388
339	1	0.1409625828
340	1	0.1403295455
341	1	0.1398513792
342	1	0.1397477518
343	1	0.139746991
344	1	0.1396722566
345	1	0.1388932452
346	1	0.1377183064
347	1	0.1370361958
348	1	0.1364941764
349	1	0.1364860555
350	1	0.1356393026
351	1	0.1354053353
352	1	0.1345431936
353	1	0.1339978693
354	1	0.1339840257
355	1	0.1334202139
356	1	0.1333856304
357	1	0.1333844038
358	1	0.1333308369
359	1	0.1331465791
360	1	0.1328184293
361	1	0.1328087668
362	1	0.1327979237
363	1	0.1322126497
364	1	0.1316142395
365	1	0.1315088805
366	1	0.1312766298
367	1	0.1302807049
368	1	0.1298611898
369	1	0.1293878442
370	1	0.1289403131
371	1	0.1289335736
372	1	0.1286745908
373	1	0.1286741289
374	1	0.1286448187
375	1	0.1278869269
376	1	0.1278597514
377	1	0.1278499318
378	1	0.127369196
379	1	0.1266854788
380	1	0.126469596
381	1	0.1264612953
382	1	0.1264609594
383	1	0.1261933988
384	1	0.1257659629
385	1	0.1255543859
386	1	0.1248383247
387	1	0.1244411619
388	1	0.124344547
389	1	0.1236856997
390	1	0.123685093
391	1	0.1236846003
392	1	0.1236662258
393	1	0.1229430623
394	1	0.12294236
395	1	0.122715777
396	1	0.1226319237
397	1	0.1225968596
398	1	0.1217451472
399	1	0.1217446213
400	1	0.1214820185
401	1	0.1212026887
402	1	0.120780553
403	1	0.1198832236
404	1	0.1190220609
405	1	0.1190214771
406	1	0.1190210031
407	1	0.1189743813
408	1	0.1189591207
409	1	0.1182963237
410	1	0.1181714801
411	1	0.1178765999
412	1	0.1171687175
413	1	0.1166804903
414	1	0.1159777319
415	1	0.1157741785
416	1	0.1157637295
417	1	0.1157633083
418	1	0.1155697732
419	1	0.1151415766
420	1	0.1151413059
421	1	0.1150131703
422	1	0.1149637615
423	1	0.1149057028
424	1	0.1148956274
425	1	0.114556679
426	1	0.114424187
427	1	0.1141829056
428	1	0.1136592213
429	1	0.1129607134
430	1	0.1124020824
431	1	0.1118465848
432	1	0.1113222007
433	1	0.1109915226
434	1	0.1108126756
435	1	0.1106882897
436	1	0.1106025666
437	1	0.110328781
438	1	0.1101847727
439	1	0.1095641069
440	1	0.109119968
441	1	0.1086358357
442	1	0.1084444443
443	1	0.108059741
444	1	0.1072608952
445	1	0.1071547714
446	1	0.1069771844
447	1	0.1064765873
448	1	0.1060290142
449	1	0.1057061881
450	1	0.1055387023
451	1	0.1050844859
452	1	0.1050694056
453	1	0.1046842375
454	1	0.1046528922
455	1	0.1043419446
456	1	0.1043321603
457	1	0.1041639059
458	1	0.1040373564
459	1	0.1037216672
460	1	0.1032063494
461	1	0.1031897563
462	1	0.103189538
463	1	0.1028994334
464	1	0.1026668551
465	1	0.1021192037
466	1	0.1021113229
467	1	0.1016960117
468	1	0.1016631994
469	1	0.1013393866
470	1	0.1012440571
471	1	0.1012340327
472	1	0.1011982497
473	1	0.1004292244
474	1	0.09994285534
475	1	0.09972526425
476	1	0.09935568438
477	1	0.09887618476
478	1	0.09841957094
479	1	0.0981923798
480	1	0.09780867685
481	1	0.09780832988
482	1	0.09780804816
483	1	0.09774205316
484	1	0.09756639267
485	1	0.09752139884
486	1	0.09752139653
487	1	0.09751372256
488	1	0.09750521675
489	1	0.09704224433
490	1	0.09683966769
491	1	0.09662409028
492	1	0.0962316544
493	1	0.09622369601
494	1	0.09598858232
495	1	0.09558973406
496	1	0.09541257484
497	1	0.09527256933
