action,ticket,index,model_confidence,result
SELL,QRVO,0,0.82,0.04
SELL,QRVO,12,1.0,0.0014926581653372983
SELL,DIS,34,0.6129032258064516,-0.0011098840649192113
BUY,ENPH,51,0.6233183856502242,-0.001000679557422125
BUY,TEL,81,0.6947368421052632,-0.0016450203039304959
SELL,QRVO,91,1.0,0.0036751128703395473
BUY,TEL,97,0.6947368421052632,0.04
BUY,RL,103,0.6470588235294118,0.04
SELL,KMX,109,0.5825688073394495,0.04
SELL,KMX,156,0.5333333333333333,-0.003731103509712977
BUY,RL,162,0.6038461538461538,-0.0014688290993198642
BUY,RL,174,0.6038461538461538,0.04
SELL,LYV,180,0.5423728813559322,0.04
SELL,KMX,199,0.5333333333333333,-0.0012038255129261123
BUY,TEL,237,0.6349206349206349,0.0034317661189374477
SELL,ENPH,247,0.7080745341614907,0.002426311164375225
SELL,ENPH,253,0.7080745341614907,-0.005653090443156772
SELL,LYV,259,0.5423728813559322,-0.006779043750497352
BUY,CDAY,265,0.656441717791411,-0.0013008071267821587
