ticket,accuracy,precision,recall,f1_score,sample_size,num_interesting_bets,num_possible_bets
SJM,0.9046875,1.0,0.08955223880597014,0.1643835616438356,640,6,67
LYB,0.828125,1.0,0.009009009009009009,0.01785714285714286,640,1,111
KMX,0.7859375,1.0,0.05517241379310345,0.1045751633986928,640,8,145
ACN,0.896875,1.0,0.014925373134328358,0.029411764705882353,640,1,67
CME,0.9078125,1.0,0.03278688524590164,0.06349206349206349,640,2,61
TMUS,0.940625,1.0,0.05,0.09523809523809523,640,2,40
NI,0.8857589984350548,1.0,0.0641025641025641,0.12048192771084336,639,5,78
EIX,0.8703125,1.0,0.023529411764705882,0.04597701149425288,640,2,85
CBRE,0.8765625,1.0,0.024691358024691357,0.048192771084337345,640,2,81
WFC,0.9046875,1.0,0.016129032258064516,0.031746031746031744,640,1,62
CSCO,0.8828125,1.0,0.038461538461538464,0.07407407407407407,640,3,78
CMA,0.8375,1.0,0.045871559633027525,0.08771929824561404,640,5,109
SYY,0.9172794117647058,1.0,0.0425531914893617,0.08163265306122448,544,2,47
ORLY,0.9120654396728016,1.0,0.022727272727272728,0.044444444444444446,489,1,44
TRV,0.9405320813771518,1.0,0.13636363636363635,0.24000000000000002,639,6,44
MSI,0.9048387096774193,1.0,0.04838709677419355,0.09230769230769231,620,3,62
ADSK,0.7668231611893583,0.9333333333333333,0.08641975308641975,0.15819209039548024,639,15,162
PEP,0.9484375,0.9,0.21951219512195122,0.3529411764705882,640,10,41
JPM,0.9358372456964006,0.8888888888888888,0.16666666666666666,0.2807017543859649,639,9,48
SRE,0.89375,0.8888888888888888,0.10666666666666667,0.19047619047619047,640,9,75
JKHY,0.8922056384742952,0.8571428571428571,0.16,0.2696629213483146,603,14,75
FRC,0.8341158059467919,0.8333333333333334,0.045454545454545456,0.08620689655172414,639,6,110
PEG,0.9125,0.7631578947368421,0.3815789473684211,0.5087719298245614,640,38,76
HON,0.9328125,0.75,0.1276595744680851,0.2181818181818182,640,8,47
UHS,0.863849765258216,0.75,0.033707865168539325,0.06451612903225806,639,4,89
GRMN,0.8921875,0.75,0.04225352112676056,0.08,640,4,71
CHTR,0.7921875,0.75,0.022222222222222223,0.043165467625899276,640,4,135
TEL,0.9109375,0.7391304347826086,0.25,0.37362637362637363,640,23,68
CHD,0.91875,0.7272727272727273,0.14035087719298245,0.23529411764705882,640,11,57
LH,0.8575899843505478,0.7272727272727273,0.08333333333333333,0.14953271028037382,639,11,96
TMO,0.8640625,0.7142857142857143,0.05555555555555555,0.10309278350515463,640,7,90
MCHP,0.8059467918622848,0.7,0.15441176470588236,0.2530120481927711,639,30,136
WM,0.9328125,0.6923076923076923,0.1875,0.29508196721311475,640,13,48
ELV,0.863849765258216,0.6875,0.11827956989247312,0.20183486238532114,639,16,93
PVH,0.74375,0.6666666666666666,0.07058823529411765,0.12765957446808512,640,18,170
JNPR,0.8390625,0.6666666666666666,0.0380952380952381,0.07207207207207207,640,6,105
POOL,0.7286012526096033,0.6666666666666666,0.045112781954887216,0.08450704225352113,479,9,133
AWK,0.865625,0.6666666666666666,0.045454545454545456,0.08510638297872342,640,6,88
SPG,0.8998435054773083,0.6666666666666666,0.11764705882352941,0.2,639,12,68
PFE,0.93125,0.6666666666666666,0.044444444444444446,0.08333333333333334,640,3,45
CLX,0.896875,0.6666666666666666,0.16666666666666666,0.26666666666666666,640,18,72
ABBV,0.88125,0.6666666666666666,0.1686746987951807,0.2692307692307692,640,21,83
FITB,0.871875,0.6666666666666666,0.07058823529411765,0.12765957446808512,640,9,85
SEE,0.8828125,0.6363636363636364,0.08974358974358974,0.15730337078651685,640,11,78
VFC,0.758998435054773,0.6296296296296297,0.10559006211180125,0.18085106382978725,639,27,161
GPC,0.9389671361502347,0.625,0.12195121951219512,0.20408163265306123,639,8,41
CMS,0.9140625,0.625,0.1694915254237288,0.26666666666666666,640,16,59
FISV,0.9,0.625,0.14705882352941177,0.2380952380952381,640,16,68
MAR,0.8953125,0.625,0.14084507042253522,0.22988505747126436,640,16,71
DXCM,0.80625,0.6153846153846154,0.06299212598425197,0.11428571428571428,640,13,127
BAX,0.863849765258216,0.6111111111111112,0.12087912087912088,0.20183486238532108,639,18,91
RSG,0.9342723004694836,0.6086956521739131,0.2978723404255319,0.39999999999999997,639,23,47
