ticket,accuracy,precision,recall,f1_score,sample_size,num_interesting_bets,num_possible_bets
LDOS,0.9419354838709677,1.0,0.02702702702702703,0.052631578947368425,620,1,37
FTNT,0.8375,1.0,0.045871559633027525,0.08771929824561404,640,5,109
BR,0.9203125,1.0,0.019230769230769232,0.03773584905660378,640,1,52
TSN,0.9233176838810642,1.0,0.02,0.0392156862745098,639,1,50
DLTR,0.8140625,0.8571428571428571,0.04838709677419355,0.0916030534351145,640,7,124
CTSH,0.915625,0.75,0.05357142857142857,0.09999999999999999,640,4,56
ECL,0.9046875,0.75,0.047619047619047616,0.08955223880597014,640,4,63
EXPD,0.878125,0.75,0.0375,0.07142857142857142,640,4,80
BAX,0.8779342723004695,0.75,0.2,0.31578947368421056,639,24,90
INTU,0.828125,0.7142857142857143,0.04424778761061947,0.08333333333333334,640,7,113
CZR,0.7671875,0.6666666666666666,0.12578616352201258,0.21164021164021163,640,30,159
DIS,0.865625,0.6333333333333333,0.20212765957446807,0.3064516129032258,640,30,94
MRNA,0.753125,0.6266666666666667,0.2655367231638418,0.373015873015873,640,75,177
HPQ,0.8591549295774648,0.6,0.0967741935483871,0.16666666666666666,639,15,93
CBOE,0.8998330550918197,0.5454545454545454,0.09836065573770492,0.16666666666666666,599,11,61
UAL,0.9140625,0.5384615384615384,0.125,0.20289855072463767,640,13,56
ENPH,0.7453125,0.5319148936170213,0.15060240963855423,0.23474178403755872,640,47,166
AMZN,0.79375,0.5294117647058824,0.13432835820895522,0.21428571428571425,640,34,134
DD,0.92018779342723,0.5,0.09803921568627451,0.1639344262295082,639,10,51
ALK,0.915625,0.5,0.037037037037037035,0.06896551724137931,640,4,54
DVN,0.771875,0.5,0.10273972602739725,0.17045454545454544,640,30,146
APTV,0.8466353677621283,0.5,0.030612244897959183,0.05769230769230769,639,6,98
DOW,0.9140625,0.5,0.03636363636363636,0.06779661016949153,640,4,55
GPN,0.8356807511737089,0.5,0.02857142857142857,0.05405405405405405,639,6,105
CCI,0.9265625,0.5,0.02127659574468085,0.04081632653061224,640,2,47
D,0.9265625,0.5,0.0425531914893617,0.0784313725490196,640,4,47
APA,0.7859375,0.4897959183673469,0.17647058823529413,0.2594594594594595,640,49,136
SNPS,0.8796875,0.48484848484848486,0.21052631578947367,0.29357798165137616,640,33,76
MHK,0.8207885304659498,0.46153846153846156,0.18556701030927836,0.2647058823529412,558,39,97
NRG,0.878125,0.46153846153846156,0.07792207792207792,0.13333333333333333,640,13,77
PENN,0.7640625,0.46153846153846156,0.04,0.07361963190184048,640,13,150
HES,0.8046875,0.4444444444444444,0.1322314049586777,0.20382165605095542,640,36,121
FANG,0.7859375,0.4444444444444444,0.05925925925925926,0.10457516339869281,640,18,135
CRL,0.7734806629834254,0.4444444444444444,0.06611570247933884,0.11510791366906475,543,18,121
ETSY,0.75,0.43548387096774194,0.17763157894736842,0.25233644859813087,640,62,152
ODFL,0.8548387096774194,0.43243243243243246,0.18823529411764706,0.26229508196721313,620,37,85
PSA,0.8977853492333902,0.42857142857142855,0.05084745762711865,0.09090909090909091,587,7,59
WMB,0.9328125,0.42857142857142855,0.225,0.2950819672131147,640,21,40
EA,0.909375,0.42857142857142855,0.10714285714285714,0.17142857142857143,640,14,56
ALB,0.7887323943661971,0.425,0.13178294573643412,0.2011834319526627,639,40,129
PAYC,0.7694174757281553,0.425,0.19101123595505617,0.2635658914728682,412,40,89
TROW,0.8453125,0.4230769230769231,0.11578947368421053,0.18181818181818182,640,26,95
RCL,0.7828125,0.4230769230769231,0.08148148148148149,0.13664596273291924,640,26,135
IFF,0.918622848200313,0.42105263157894735,0.16326530612244897,0.2352941176470588,639,19,49
CRM,0.8319870759289176,0.4166666666666667,0.049019607843137254,0.08771929824561403,619,12,102
SEDG,0.6890625,0.4095238095238095,0.2388888888888889,0.3017543859649123,640,105,180
AMGN,0.9015625,0.40540540540540543,0.26785714285714285,0.3225806451612903,640,37,56
IVZ,0.8734375,0.4,0.05063291139240506,0.0898876404494382,640,10,79
DXCM,0.7984375,0.4,0.15,0.21818181818181814,640,45,120
IRM,0.9265625,0.4,0.043478260869565216,0.0784313725490196,640,5,46
WYNN,0.803125,0.4,0.016,0.030769230769230767,640,5,125
WBD,0.7453125,0.39473684210526316,0.0967741935483871,0.15544041450777202,640,38,155
MTCH,0.7171875,0.39215686274509803,0.11764705882352941,0.1809954751131222,640,51,170
ROL,0.890625,0.391304347826087,0.13846153846153847,0.20454545454545456,640,23,65
FMC,0.9370967741935484,0.3888888888888889,0.2,0.2641509433962264,620,18,35
CNC,0.934375,0.3888888888888889,0.18421052631578946,0.25,640,18,38
ALGN,0.6953125,0.38666666666666666,0.16292134831460675,0.22924901185770755,640,75,178
NVDA,0.7578125,0.3783783783783784,0.20437956204379562,0.26540284360189575,640,74,137
LNC,0.8125,0.375,0.025423728813559324,0.04761904761904762,640,8,118
BALL,0.8294209702660407,0.3684210526315789,0.22340425531914893,0.2781456953642384,639,57,94
VFC,0.7625,0.3673469387755102,0.12949640287769784,0.19148936170212766,640,49,139
FCX,0.825,0.36666666666666664,0.10576923076923077,0.16417910447761191,640,30,104
ARE,0.8820678513731826,0.36363636363636365,0.05714285714285714,0.09876543209876543,619,11,70
LEN,0.8575899843505478,0.3611111111111111,0.16049382716049382,0.2222222222222222,639,36,81
TRMB,0.8703125,0.35714285714285715,0.06329113924050633,0.10752688172043012,640,14,79
KLAC,0.85625,0.3548387096774194,0.13253012048192772,0.1929824561403509,640,31,83
BDX,0.9171875,0.35,0.34146341463414637,0.34567901234567905,640,40,41
QRVO,0.80625,0.35,0.125,0.18421052631578946,640,40,112
PHM,0.8546875,0.3484848484848485,0.3150684931506849,0.33093525179856115,640,66,73
TSLA,0.4671875,0.34491315136476425,0.6435185185185185,0.44911147011308566,640,403,216
NXPI,0.7859375,0.3448275862068966,0.16806722689075632,0.22598870056497172,640,58,119
SBNY,0.7375,0.34177215189873417,0.1888111888111888,0.24324324324324326,640,79,143
BBWI,0.6890625,0.33587786259541985,0.28205128205128205,0.30662020905923343,640,131,156
PH,0.918622848200313,0.3333333333333333,0.04,0.07142857142857142,639,6,50
KMX,0.796875,0.3333333333333333,0.0743801652892562,0.12162162162162163,640,27,121
FIS,0.8622848200312989,0.3333333333333333,0.060240963855421686,0.10204081632653061,639,15,83
GNRC,0.665625,0.3333333333333333,0.281437125748503,0.3051948051948052,640,141,167
LNT,0.9140625,0.3333333333333333,0.018518518518518517,0.03508771929824561,640,3,54
MRO,0.7546875,0.3333333333333333,0.06802721088435375,0.11299435028248588,640,30,147
PNR,0.88125,0.3333333333333333,0.08571428571428572,0.13636363636363638,640,18,70
GM,0.8484375,0.3269230769230769,0.21518987341772153,0.2595419847328244,640,52,79
VLO,0.7265625,0.32653061224489793,0.22695035460992907,0.26778242677824265,640,98,141
HOLX,0.9015625,0.32142857142857145,0.16981132075471697,0.2222222222222222,640,28,53
AES,0.859375,0.3191489361702128,0.2054794520547945,0.24999999999999994,640,47,73
ADBE,0.8140625,0.31746031746031744,0.20833333333333334,0.25157232704402516,640,63,96
SIVB,0.6390625,0.31451612903225806,0.21081081081081082,0.2524271844660194,640,124,185
AMP,0.9124797406807131,0.3125,0.10416666666666667,0.15625,617,16,48
URI,0.809375,0.3125,0.14423076923076922,0.19736842105263155,640,48,104
HUM,0.9142394822006472,0.3111111111111111,0.3888888888888889,0.34567901234567905,618,45,36
BIIB,0.825,0.30952380952380953,0.13541666666666666,0.18840579710144928,640,42,96
A,0.8640625,0.30952380952380953,0.18309859154929578,0.23008849557522124,640,42,71
VRSN,0.9008849557522124,0.3076923076923077,0.0784313725490196,0.125,565,13,51
NFLX,0.8185255198487713,0.3076923076923077,0.09302325581395349,0.14285714285714285,529,26,86
PWR,0.8580645161290322,0.3,0.075,0.12,620,20,80
HON,0.9421875,0.3,0.09090909090909091,0.13953488372093023,640,10,33
VNO,0.7890625,0.3,0.13043478260869565,0.18181818181818182,640,50,115
SPGI,0.8671875,0.3,0.07792207792207792,0.12371134020618557,640,20,77
HPE,0.918622848200313,0.3,0.0625,0.10344827586206896,639,10,48
IQV,0.8091216216216216,0.2982456140350877,0.18888888888888888,0.2312925170068027,592,57,90
CAT,0.909375,0.2962962962962963,0.1702127659574468,0.2162162162162162,640,27,47
OXY,0.7871674491392802,0.29508196721311475,0.16216216216216217,0.20930232558139536,639,61,111
C,0.8927272727272727,0.29411764705882354,0.09615384615384616,0.14492753623188406,550,17,52
ILMN,0.7370967741935484,0.2916666666666667,0.0979020979020979,0.14659685863874344,620,48,143
RHI,0.8652037617554859,0.2916666666666667,0.09210526315789473,0.13999999999999999,638,24,76
MCHP,0.8078125,0.2857142857142857,0.11428571428571428,0.16326530612244897,640,42,105
