category,subcategory,company_name,company_code,company_value
Basic Materials,Steel,Nucor Corporation,NUE,29439
Basic Materials,Building Materials,"Martin Marietta Materials, Inc.",MLM,19733
Basic Materials,Building Materials,Vulcan Materials Company,VMC,19851
Basic Materials,Copper,Freeport-McMoRan Inc.,FCX,39776
Basic Materials,Gold,Newmont Corporation,NEM,46379
Basic Materials,Agricultural Inputs,FMC Corporation,FMC,12979
Basic Materials,Agricultural Inputs,The Mosaic Company,MOS,16210
Basic Materials,Agricultural Inputs,"CF Industries Holdings, Inc.",CF,17532
Basic Materials,Agricultural Inputs,"Corteva, Inc.",CTVA,38124
Basic Materials,Chemicals,Eastman Chemical Company,EMN,11767
Basic Materials,Chemicals,Celanese Corporation,CE,12310
Basic Materials,Chemicals,"DuPont de Nemours, Inc.",DD,28712
Basic Materials,Chemicals,Dow Inc.,DOW,37354
Basic Materials,Chemicals,"Air Products and Chemicals, Inc.",APD,52235
Basic Materials,Specialty Chemicals,Albemarle Corporation,ALB,22607
Basic Materials,Specialty Chemicals,"PPG Industries, Inc.",PPG,27685
Basic Materials,Specialty Chemicals,LyondellBasell Industries N.V.,LYB,28557
Basic Materials,Specialty Chemicals,International Flavors & Fragrances Inc.,IFF,30082
Basic Materials,Specialty Chemicals,Ecolab Inc.,ECL,46021
Basic Materials,Specialty Chemicals,The Sherwin-Williams Company,SHW,64460
Basic Materials,Specialty Chemicals,Linde plc,LIN,137615
Utilities,Utilities - Independent Power Producers,"NRG Energy, Inc.",NRG,8914
Utilities,Utilities - Renewable,Constellation Energy Corporation,CEG,19175
Utilities,Utilities - Regulated Water,"American Water Works Company, Inc.",AWK,27327
Utilities,Utilities - Regulated Gas,NiSource Inc.,NI,11650
Utilities,Utilities - Regulated Gas,Atmos Energy Corporation,ATO,15589
Utilities,Utilities - Regulated Gas,"CenterPoint Energy, Inc.",CNP,18493
Utilities,Utilities - Diversified,The AES Corporation,AES,14013
Utilities,Utilities - Diversified,FirstEnergy Corp.,FE,21416
Utilities,Utilities - Diversified,Entergy Corporation,ETR,22675
Utilities,Utilities - Diversified,Public Service Enterprise Group Incorporated,PEG,30992
Utilities,Utilities - Diversified,Exelon Corporation,EXC,43452
Utilities,Utilities - Diversified,Sempra,SRE,46284
Utilities,Utilities - Diversified,"Dominion Energy, Inc.",D,64649
Utilities,Utilities - Regulated Electric,Pinnacle West Capital Corporation,PNW,8074
Utilities,Utilities - Regulated Electric,Alliant Energy Corporation,LNT,14620
Utilities,Utilities - Regulated Electric,"Evergy, Inc.",EVRG,14918
Utilities,Utilities - Regulated Electric,CMS Energy Corporation,CMS,19226
Utilities,Utilities - Regulated Electric,PPL Corporation,PPL,20097
Utilities,Utilities - Regulated Electric,Ameren Corporation,AEE,22726
Utilities,Utilities - Regulated Electric,Edison International,EIX,23836
Utilities,Utilities - Regulated Electric,DTE Energy Company,DTE,24353
Utilities,Utilities - Regulated Electric,Eversource Energy,ES,28849
Utilities,Utilities - Regulated Electric,"WEC Energy Group, Inc.",WEC,31784
Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc.",ED,33004
Utilities,Utilities - Regulated Electric,Xcel Energy Inc.,XEL,37842
Utilities,Utilities - Regulated Electric,"American Electric Power Company, Inc.",AEP,48555
Utilities,Utilities - Regulated Electric,The Southern Company,SO,76588
Utilities,Utilities - Regulated Electric,Duke Energy Corporation,DUK,83615
Utilities,Utilities - Regulated Electric,"NextEra Energy, Inc.",NEE,157316
Energy,Oil & Gas Midstream,"ONEOK, Inc.",OKE,24429
Energy,Oil & Gas Midstream,"The Williams Companies, Inc.",WMB,37529
Energy,Oil & Gas Midstream,"Kinder Morgan, Inc.",KMI,37575
Energy,Oil & Gas Equipment & Services,Halliburton Company,HAL,25839
Energy,Oil & Gas Equipment & Services,Baker Hughes Company,BKR,28181
Energy,Oil & Gas Equipment & Services,Schlumberger Limited,SLB,46343
Energy,Oil & Gas Refining & Marketing,Phillips 66,PSX,38983
Energy,Oil & Gas Refining & Marketing,Valero Energy Corporation,VLO,42517
Energy,Oil & Gas Refining & Marketing,Marathon Petroleum Corporation,MPC,44852
Energy,Oil & Gas E&P,APA Corporation,APA,10861
Energy,Oil & Gas E&P,Marathon Oil Corporation,MRO,14695
Energy,Oil & Gas E&P,"Diamondback Energy, Inc.",FANG,19592
Energy,Oil & Gas E&P,Coterra Energy Inc.,CTRA,21281
