ticket,accuracy_low_model,accuracy_high_model,precision_low_model,precision_high_model,sample_size,p_success_strategy,num_interesting_bets
NUE,0.6371794871794871,0.6923076923076923,0.6412614980289093,0.7777777777777778,780,0.0,0
MLM,0.7195281782437746,0.7155963302752294,0.7220744680851063,0.5714285714285714,763,0.5,2
VMC,0.7512820512820513,0.7538461538461538,0.7559055118110236,0.76,780,0.42857142857142855,7
FCX,0.6166666666666667,0.617948717948718,0.6091954022988506,0.6355140186915887,780,0.34615384615384615,26
NEM,0.7076923076923077,0.7025641025641025,0.7074468085106383,0.6551724137931034,780,1.0,1
FMC,0.7858974358974359,0.7256410256410256,0.7874015748031497,0.55,780,1.0,2
MOS,0.6025641025641025,0.6230769230769231,0.5986301369863014,0.6851851851851852,780,0.2857142857142857,7
CF,0.6256410256410256,0.6038461538461538,0.6191950464396285,0.7105263157894737,780,0.23076923076923078,13
CTVA,0.782051282051282,0.7589743589743589,0.7991967871485943,0.6,780,0.0,0
EMN,0.7205128205128205,0.7128205128205128,0.721419185282523,0.6363636363636364,780,0.0,3
CE,0.6884615384615385,0.6846153846153846,0.688,0.5862068965517241,780,1.0,1
DD,0.6935897435897436,0.6923076923076923,0.6988110964332893,0.76,780,0.0,2
DOW,0.7602564102564102,0.7871794871794872,0.7633289986996099,0.6190476190476191,780,0.2,10
APD,0.7987179487179488,0.7948717948717948,0.8099606815203145,0.85,780,0.3333333333333333,3
ALB,0.6717948717948717,0.6410256410256411,0.6809160305343511,0.6692307692307692,780,0.42857142857142855,14
PPG,0.7564102564102564,0.7756410256410257,0.7590673575129534,0.8333333333333334,780,0.75,4
LYB,0.7025641025641025,0.7192307692307692,0.7023809523809523,0.6521739130434783,780,0.0,0
IFF,0.7474358974358974,0.7692307692307693,0.7526041666666666,0.8,780,0.0,0
ECL,0.7371794871794872,0.7307692307692307,0.7449933244325768,0.5384615384615384,780,0.3,10
SHW,0.7589743589743589,0.7474358974358974,0.7620286085825748,0.6470588235294118,780,0.3333333333333333,6
LIN,0.8435897435897436,0.8512820512820513,0.8530559167750326,0.7777777777777778,780,0.0,0
NRG,0.7141025641025641,0.7166666666666667,0.7172503242542153,0.7058823529411765,780,0.25,8
CEG,0.6987179487179487,0.691025641025641,0.6975806451612904,0.8484848484848485,780,0.42857142857142855,7
AWK,0.782051282051282,0.7833333333333333,0.7830065359477124,0.46153846153846156,780,0.3333333333333333,3
NI,0.735897435897436,0.7282051282051282,0.7457180500658761,0.42857142857142855,780,0.0,1
ATO,0.8397435897435898,0.841025641025641,0.8419023136246787,1.0,780,0.0,0
CNP,0.7987179487179488,0.8051282051282052,0.8028534370946823,0.2,780,0.0,0
